Timestamp (ms),Difficulty,Performance,Channel,1 hz,2 hz,3 hz,4 hz,5 hz,6 hz,7 hz,8 hz,9 hz,10 hz,11 hz,12 hz,13 hz,14 hz,15 hz,16 hz,17 hz,18 hz,19 hz,20 hz,21 hz,22 hz,23 hz,24 hz,25 hz,26 hz,27 hz,28 hz,29 hz,30 hz,31 hz,32 hz,33 hz,34 hz,35 hz,36 hz,37 hz,38 hz,39 hz,40 hz,41 hz,42 hz,43 hz,44 hz,45 hz,46 hz,47 hz,48 hz,49 hz,50 hz,51 hz,52 hz,53 hz,54 hz,55 hz,56 hz,57 hz,58 hz,59 hz,60 hz,61 hz,62 hz,63 hz,64 hz,65 hz,66 hz,67 hz,68 hz,69 hz,70 hz,71 hz,72 hz,73 hz,74 hz,75 hz,76 hz,77 hz,78 hz,79 hz,80 hz,81 hz,82 hz,83 hz,84 hz,85 hz,86 hz,87 hz,88 hz,89 hz,90 hz,91 hz,92 hz,93 hz,94 hz,95 hz,96 hz,97 hz,98 hz,99 hz,100 hz,101 hz,102 hz,103 hz,104 hz,105 hz,106 hz,107 hz,108 hz,109 hz,110 hz
1491267755260,0,0,1,0.2171153535,0.2861766581,0.3090841634,0.2988054964,0.2621897643,0.218632331,0.2336735543,0.2582287989,0.2480979425,0.2123138906,0.2245124313,0.2523754479,0.2562563901,0.2362474547,0.1448471801,0.2225826781,0.234225641,0.1993986972,0.2265570824,0.2147718132,0.1811204681,0.1916301122,0.2071082744,0.1978323352,0.1745476091,0.190206817,0.1934233595,0.2285067956,0.2289368688,0.1852319787,0.2022581689,0.203292305,0.1929721247,0.1849300744,0.2217059344,0.2185742382,0.1563213839,0.1949384371,0.1932312547,0.2213310441,0.223257743,0.1855443301,0.2087881833,0.1926028383,0.1779720762,0.2004303942,0.1616031193,0.1738737609,0.2103216501,0.2216005257,0.2285889182,0.2215993806,0.210961932,0.1733234361,0.206575785,0.1765382075,0.1125366364,0.1741164867,0.1640684017,0.1529976836,0.114271707,0.0414847643,0.1481891821,0.1498787969,0.1331407099,0.129966262,0.1768628291,0.1582358697,0.1724878184,0.1756555466,0.1578242305,0.1798051155,0.1396975022,0.1969456605,0.2215832898,0.203144208,0.1632468298,0.1415805007,0.1448295035,0.1283670328,0.1318345822,0.1623644442,0.1582430521,0.1774295973,0.1539046811,0.1909812285,0.20325517,0.1751315016,0.1894079949,0.1622312926,0.180621918,0.1807230203,0.1858367406,0.1893055111,0.1870627824,0.1557257077,0.1544862856,0.1505949229,0.1466277674,0.1723835451,0.1472340837,0.1147066112,0.1508216994,0.1019889801,0.1544597711,0.0767858047,0.1106309575,0.1156662655,0.146162446,0.1420432744
1491267755260,0,0,2,0.1996305357,0.2351815385,0.247892104,0.2387079752,0.2099350184,0.1935051875,0.1460982317,0.1988896191,0.1860061365,0.1865237775,0.161329563,0.208540912,0.18347189,0.1969527548,0.2095424833,0.1372711216,0.2061514622,0.211357908,0.2132466588,0.1940464437,0.2082851777,0.209280434,0.1922122069,0.2228783528,0.2425821424,0.1728640709,0.2170610356,0.2079710288,0.2015661601,0.1701079582,0.2198302262,0.1825417191,0.2225728649,0.2224987044,0.1828874667,0.2144388875,0.1764348478,0.206323644,0.2019905033,0.1918999622,0.1746300183,0.1951022155,0.1966799326,0.1631184489,0.2022444783,0.198093991,0.1911014351,0.2142479119,0.1732588822,0.1698511967,0.2079254114,0.192883877,0.1884065552,0.1933083425,0.1455484698,0.0763478725,0.161470852,0.1304381491,0.1576094642,0.1398306311,0.1230298155,0.1148533643,0.1704574045,0.1890147559,0.1815419995,0.1631473036,0.167724999,0.124292041,0.2100087115,0.216709953,0.1932709285,0.190840947,0.2193144699,0.2242102647,0.1801811917,0.1890314955,0.158101789,0.1338250235,0.1913990262,0.1886464504,0.1403192724,0.1630568257,0.1783158749,0.1773238952,0.1792720348,0.1908799218,0.2181320591,0.2018458921,0.1786998517,0.1740774253,0.1391546454,0.1926593293,0.2103573419,0.1898816951,0.2028471366,0.1851155232,0.1722070121,0.1905032151,0.1901608987,0.1747080902,0.1472996858,0.164461423,0.149066514,0.1397984891,0.1756264226,0.152345947,0.1346129442,0.1344115131,0.082984235,0.1655905187
1491267755261,0,0,3,0.1870147721,0.202082,0.1563526285,0.1931956945,0.1546156833,0.1765090974,0.2095836771,0.1898617922,0.1765466942,0.1539039239,0.1885471362,0.1902264795,0.1809825098,0.1234934417,0.1886468163,0.1934484763,0.2009934412,0.1954276566,0.1284746342,0.2046884787,0.2041220126,0.1586715552,0.2128069844,0.1802283247,0.2180977189,0.2078899936,0.1639093119,0.1323936574,0.2161888878,0.2215863815,0.1890614138,0.2015174051,0.2238484059,0.2212449201,0.1863747229,0.2217951624,0.2158192346,0.1847829505,0.2020614963,0.2330023431,0.2179349021,0.2071855131,0.2112913319,0.1702368971,0.169989666,0.1741968208,0.1934719145,0.2033435439,0.2111748812,0.1755358182,0.1686625177,0.15317993,0.1683917492,0.1727460623,0.2093800128,0.2118110791,0.1791651406,0.1773495911,0.1798686499,0.1383773175,0.0929966646,0.0856846234,0.111336017,0.1282748053,0.0991558071,0.1293994724,0.1662022328,0.2003593208,0.1967910706,0.1858203212,0.1128807481,0.1789555632,0.1834016524,0.1815675462,0.2063428493,0.1945086665,0.1530017757,0.1666481896,0.1823640584,0.1682233289,0.1510845206,0.1475630201,0.1883919964,0.1997750886,0.159286429,0.1669098007,0.2007994981,0.1984227227,0.1838372781,0.2003317228,0.2059690742,0.2064073654,0.1842777851,0.1484678234,0.1844469359,0.1436306186,0.1383783359,0.1324814943,0.107729729,0.1367780025,0.1503432495,0.150575124,0.1526979333,0.1403035048,0.1226815084,0.144017277,0.1479720213,0.1188985577,0.1472878747,0.1144220713
1491267755262,0,0,4,0.1718139163,0.2691672102,0.2998030587,0.2987865119,0.2568089017,0.1822145879,0.2311405369,0.2572018392,0.2607841558,0.2542377579,0.2293097834,0.2364122285,0.254391939,0.2424419552,0.2224478288,0.1298791403,0.1920725252,0.1891444414,0.1952951436,0.200960265,0.2227938382,0.2210852529,0.2116525448,0.1835510666,0.2104728685,0.1865388454,0.1757197785,0.2184282076,0.2297976409,0.2113583256,0.1565845733,0.1912048207,0.2174177194,0.2067604708,0.2067851229,0.204701327,0.1359216131,0.2067256261,0.2397432523,0.2391021388,0.1994903302,0.2129304744,0.2217026129,0.1679121553,0.1556621946,0.1644872723,0.2045706336,0.1847571495,0.216931242,0.2353584165,0.2218248356,0.1821675399,0.1506986135,0.2116394911,0.2254803912,0.2004049288,0.179924628,0.1346461242,0.0303517533,0.0671020795,0.0570643287,0.1019173006,0.137928819,0.1492877852,0.1237133931,0.1298385906,0.1924526765,0.1962879185,0.1812388374,0.1304997298,0.1895984295,0.1805755496,0.1826340107,0.1957127136,0.190877557,0.1980542695,0.1441091207,0.1376701938,0.139245131,0.1799392106,0.1940157559,0.1714297529,0.1236014318,0.1871504321,0.1048714403,0.1675834715,0.1880621805,0.210042111,0.2039997008,0.1861190269,0.1861237447,0.1334545974,0.1505712471,0.1658101234,0.1726176363,0.0971126308,0.1776751703,0.1802817729,0.1771055252,0.1903571178,0.148350833,0.1092512463,0.1201691469,0.018336294,0.1313544739,0.1345062815,0.1184664962,0.1238188199,0.146604761,0.0575733415
1491267756249,0,0,1,0.4485685824,0.5671042281,0.5906948045,0.5611397829,0.4950714339,0.4355170435,0.4791737442,0.5026535576,0.4867215601,0.4340288928,0.4654927324,0.4192816509,0.4793654649,0.4010844955,0.3680669423,0.4336772205,0.4524343668,0.3681032728,0.4148747177,0.3904135385,0.3926738818,0.4040395577,0.4134700697,0.4016902541,0.383674379,0.410475007,0.4224657906,0.4551873292,0.4545730013,0.3827852338,0.3667147387,0.3579280135,0.3472736676,0.3786032597,0.4043928362,0.4216823306,0.288209582,0.3934665643,0.3895849386,0.3797283064,0.4267946593,0.3893524861,0.3799254681,0.3677978638,0.3820950196,0.3965581514,0.3751093009,0.3780554607,0.3529684722,0.4360084587,0.4262155134,0.4272871271,0.3998401857,0.3542668523,0.3790609947,0.3557618585,0.2932335072,0.3020954261,0.303340062,0.2534310794,0.2275436998,0.1499746276,0.2848637012,0.3389110828,0.3020562809,0.3290929303,0.4010508683,0.3793337907,0.3797861978,0.363815124,0.3336112738,0.3619172479,0.3400472959,0.3808808049,0.4014791456,0.3966120115,0.3623557393,0.3344699467,0.2984949079,0.3054250166,0.3070359678,0.3291526446,0.2980601778,0.3077351191,0.2769502234,0.3764041522,0.4002408907,0.3478636601,0.3680421429,0.1910755618,0.3796360126,0.3880738385,0.2850174893,0.389178787,0.3853944167,0.3009386315,0.3108423688,0.2819114829,0.3038863041,0.366171856,0.3257786198,0.2542417249,0.298885967,0.2337197214,0.2702433292,0.1892926974,0.2383828448,0.240275,0.2809544973,0.2546953334
1491267756250,0,0,2,0.3936358932,0.4607738394,0.4697370409,0.4430536508,0.4013164185,0.3717550967,0.3011518211,0.2870333284,0.3578810623,0.2852725717,0.3445622058,0.3517221558,0.3728928904,0.3540374938,0.3980126145,0.3147144884,0.382841246,0.3834933344,0.4224667961,0.4165444184,0.4239370875,0.4008180327,0.3349853757,0.3732946171,0.3735911656,0.3363652838,0.377884302,0.4278022417,0.4208073006,0.3839652762,0.4110840304,0.3763596444,0.3912528664,0.3117878554,0.3290743137,0.3611774314,0.3853000648,0.3398012475,0.4235408941,0.3847440624,0.3516038148,0.401677424,0.3635293684,0.3665509797,0.3860615957,0.4113628686,0.3841654358,0.3486519129,0.3477473611,0.3261673299,0.3923333382,0.3773129012,0.3451443399,0.3546394268,0.3347192471,0.2640259364,0.3255001091,0.2618748099,0.2972330057,0.238023668,0.2086837074,0.2611937536,0.3081728681,0.3522618996,0.3059845082,0.2793032275,0.3113140918,0.3122511587,0.3852719369,0.3885250898,0.3604218947,0.3748335649,0.3538200451,0.4268766056,0.3745982182,0.302679085,0.3392586612,0.2665561099,0.3633759161,0.3827238713,0.3087948672,0.3000556153,0.3535195958,0.3082177701,0.3455557011,0.290733096,0.3688680868,0.4078136905,0.3562252781,0.2844919558,0.2807020186,0.3433867822,0.3596804605,0.3592320369,0.3658971136,0.3606800517,0.2071462444,0.3368844433,0.3403931387,0.3494584539,0.316813116,0.2864870026,0.2770811825,0.291062528,0.3208182432,0.2522504251,0.2480852143,0.2347237321,0.142564537,0.2526901045
1491267756251,0,0,3,0.3886344735,0.4257378471,0.3244765901,0.3561388056,0.3276256261,0.3566928363,0.3586551209,0.3447107092,0.297322563,0.3285631468,0.3731654534,0.3495739374,0.3706749761,0.3198275825,0.3841464529,0.3995655369,0.3730300719,0.3861352969,0.3183214674,0.4064703399,0.415358807,0.3508203365,0.4097894579,0.384798198,0.4357595971,0.3817784983,0.3869814488,0.355396555,0.4197256484,0.3852809298,0.3507436222,0.3782037839,0.4224296269,0.4262864264,0.3526313342,0.3858943617,0.3633767791,0.3608714943,0.3782929436,0.4239927421,0.3973189055,0.391546377,0.3754597479,0.3127753093,0.3515355449,0.3549079959,0.3213661836,0.376028112,0.4013718216,0.333700272,0.3513203744,0.2947778792,0.3701613206,0.3548620256,0.397721356,0.4167731792,0.3456087329,0.262734238,0.3247608944,0.291201866,0.183451891,0.1840424168,0.2251562053,0.2825790133,0.2794127308,0.3100691227,0.3494818621,0.3834100524,0.3604939158,0.3218293644,0.2721411955,0.3654275054,0.3663531533,0.3747487063,0.4078851811,0.3663049194,0.3130288664,0.2972226552,0.3535378785,0.3277754877,0.2989595742,0.3055324913,0.3568616586,0.3762263254,0.3096574448,0.3490076173,0.3673592555,0.3345053988,0.2900640197,0.3313030418,0.3585238012,0.3781930517,0.3511263039,0.3216290746,0.3395551731,0.2608868055,0.2944898759,0.2895163488,0.2506302624,0.2600324251,0.2612231554,0.2688832919,0.265862507,0.2298517677,0.2078334875,0.2517880881,0.1873075562,0.2303021296,0.2642729336,0.2575666962
1491267756251,0,0,4,0.4216439868,0.5489085044,0.5702498736,0.5488213003,0.4825024167,0.4030227606,0.493745992,0.5138455237,0.486138521,0.499654254,0.4651475481,0.4328264344,0.4538003643,0.4082435584,0.4482025192,0.3478511233,0.4158463806,0.4079292281,0.3326871251,0.4189975204,0.4398259355,0.4111613068,0.4073603314,0.3508310617,0.422657727,0.3867912242,0.3549698927,0.4119284195,0.439162764,0.4128962401,0.3597110234,0.3670251646,0.3680917144,0.4087131981,0.3891521739,0.4212406916,0.2659769692,0.4179934248,0.443486679,0.3969488546,0.3455236492,0.4032401794,0.3868978268,0.3626098782,0.3409188169,0.3553471233,0.4042676789,0.3833944295,0.4095945705,0.4536458721,0.428625974,0.3612690237,0.3151932189,0.3734644004,0.3684862831,0.3798508194,0.3777595453,0.2984120018,0.1656007882,0.2025452235,0.157629192,0.2098483362,0.2766356607,0.298702175,0.3051632898,0.3289985686,0.3896171105,0.3601327119,0.3505603159,0.3168269926,0.3880361173,0.3232044427,0.3820240023,0.4121401085,0.4069709436,0.3734768818,0.3304805688,0.3192353562,0.3172038623,0.3573692911,0.3820448227,0.3321372569,0.3183205052,0.3465408567,0.2945991283,0.3483809062,0.3538362904,0.3884200832,0.375749762,0.3886872788,0.3489755329,0.2360187442,0.2943435941,0.3081316836,0.2432506475,0.2306247622,0.3436673402,0.3471483278,0.3500365234,0.3550847868,0.3019353627,0.2556281561,0.2905664392,0.1967075854,0.3133091734,0.2681580571,0.2887084184,0.2630934892,0.2973029816,0.2014673098
1491267757293,0,-7,1,0.628311562,0.7714443123,0.8156673725,0.8029228433,0.7317281885,0.6571598606,0.6677120565,0.714183742,0.7012101843,0.6491803049,0.5997359292,0.6231471079,0.6554831313,0.559527815,0.5220045524,0.6462143169,0.656892256,0.5530897354,0.6085504913,0.6093829612,0.6168096333,0.5960853437,0.6007693669,0.5715940294,0.5890958159,0.6279320038,0.6396526654,0.6731020254,0.6797469484,0.5855337851,0.5661197212,0.4936181304,0.5505343473,0.5786557555,0.5817956141,0.6046925946,0.5014970501,0.5710638304,0.5339882358,0.5664887777,0.6174050078,0.577523105,0.5897094652,0.5754959156,0.5922096153,0.5968202462,0.5525733903,0.5504756779,0.5230860944,0.5917515656,0.6336120961,0.61728576,0.6073754379,0.530710049,0.5553032843,0.467003556,0.4322898795,0.4035190507,0.4060083019,0.3908938738,0.3092852551,0.2251633943,0.3688273064,0.513388046,0.4800338532,0.4442563043,0.5439933317,0.4790022336,0.5118955311,0.5445919231,0.536948199,0.5573146061,0.5122343161,0.5380907158,0.5862649309,0.5775291751,0.5499416192,0.5263524281,0.4900176681,0.5109714171,0.4927182374,0.4314103269,0.4715989253,0.4931576085,0.4602897263,0.5531980859,0.5442598643,0.5053874436,0.5478896815,0.3832956292,0.5635154777,0.5542524437,0.4687436479,0.5653952847,0.5409259558,0.4384334614,0.4679408867,0.4514830163,0.4847523265,0.5484107954,0.4891981217,0.3657286769,0.463984589,0.3980357448,0.3964774411,0.3081144653,0.3430151919,0.3612589291,0.4128665348,0.3924924441
1491267757294,0,-7,2,0.5714602371,0.6220258478,0.6681345603,0.6545282462,0.5592144113,0.5517816799,0.5014254746,0.4729036669,0.48793303,0.4181656873,0.4994293603,0.517895383,0.543902742,0.5138126867,0.5921539199,0.4608843024,0.5687116725,0.5773429569,0.6200716027,0.6212424473,0.6137878064,0.6060891436,0.5476283748,0.5420776388,0.5462852766,0.5164290687,0.5213111722,0.5800219317,0.5802188205,0.5565087167,0.5850221799,0.598193139,0.6177737272,0.5182668736,0.5168788051,0.4832521956,0.5330129644,0.4999232461,0.5426329897,0.5601917492,0.5695231185,0.6105011281,0.548669673,0.5481363314,0.5717270748,0.6319465305,0.5837528038,0.5456894107,0.5402070426,0.5156199915,0.5699381301,0.5466131224,0.5338276694,0.5365784012,0.5251572729,0.3988359423,0.4786228821,0.3577220119,0.3932084476,0.3267442999,0.2835625262,0.3628154457,0.3812742784,0.4774211002,0.4579020079,0.4301788286,0.4582905282,0.4330570653,0.4831591779,0.5577870578,0.5313762856,0.5485559842,0.5022968359,0.6120609743,0.5717959135,0.4474691303,0.5093381203,0.4436291432,0.4885982576,0.5395456354,0.4644579127,0.4179789084,0.5275883565,0.4635003788,0.4964408036,0.4285882686,0.5255005349,0.5530026205,0.4563736332,0.3776633014,0.435470387,0.5169260083,0.5085405437,0.4842210582,0.4783049606,0.4804383356,0.3431057176,0.4775913706,0.4845560119,0.4996914578,0.4509547168,0.3920043901,0.3781515109,0.4305024738,0.4644132907,0.3539311624,0.2492092933,0.3760580585,0.3041542431,0.3698024677
